epoch,accuracy,loss,val_accuracy,val_loss
0,0.8721649646759033,0.41207948327064514,0.9074074029922485,0.5374897718429565
1,0.9030928015708923,0.32339876890182495,0.9074074029922485,0.37033480405807495
2,0.9030928015708923,0.2767315208911896,0.9074074029922485,0.4754842519760132
3,0.9030928015708923,0.2714393436908722,0.9074074029922485,0.35670700669288635
4,0.9010308980941772,0.26336759328842163,0.9074074029922485,0.4272580146789551
5,0.9092783331871033,0.24685578048229218,0.9074074029922485,0.44311150908470154
6,0.9134020805358887,0.23574265837669373,0.9074074029922485,0.3474626839160919
7,0.915463924407959,0.20335336029529572,0.9074074029922485,0.5094012022018433
8,0.929896891117096,0.19678141176700592,0.9012345671653748,0.5002087950706482
9,0.9340206384658813,0.19475777447223663,0.8641975522041321,0.540008008480072
10,0.9360824823379517,0.17489150166511536,0.9135802388191223,0.4775448441505432
11,0.9360824823379517,0.1670531928539276,0.8641975522041321,0.4038240909576416
12,0.9422680139541626,0.1336403489112854,0.9074074029922485,0.6756141781806946
13,0.9443299174308777,0.13051840662956238,0.8888888955116272,0.6974012851715088
14,0.946391761302948,0.117693692445755,0.8209876418113708,0.5135461091995239
15,0.9484536051750183,0.10012127459049225,0.9135802388191223,0.7600611448287964
16,0.9587628841400146,0.09247620403766632,0.8209876418113708,0.4950313866138458
17,0.9525772929191589,0.0951145738363266,0.9012345671653748,0.6097652912139893
18,0.977319598197937,0.0635070651769638,0.8765432238578796,0.7231029272079468
19,0.9670103192329407,0.07825912535190582,0.9074074029922485,0.819318413734436
20,0.9793814420700073,0.054626259952783585,0.9074074029922485,0.8895105719566345
