epoch,accuracy,loss,val_accuracy,val_loss
0,0.1155378520488739,2.814724922180176,0.2153846174478531,2.717728853225708
1,0.131474107503891,2.734165668487549,0.20769231021404266,2.723179340362549
2,0.16733068227767944,2.66584849357605,0.11538461595773697,2.6900765895843506
3,0.175298810005188,2.5842599868774414,0.11538461595773697,2.6653072834014893
4,0.20717132091522217,2.4380292892456055,0.23076923191547394,2.6935980319976807
5,0.2908366620540619,2.238508462905884,0.19230769574642181,2.6733620166778564
6,0.4003984034061432,1.8719170093536377,0.20000000298023224,2.9271929264068604
7,0.525896430015564,1.4549139738082886,0.19230769574642181,3.335874557495117
8,0.6792828440666199,1.0151970386505127,0.1846153885126114,3.7977499961853027
9,0.7868525981903076,0.692340612411499,0.1846153885126114,4.1353373527526855
10,0.886454164981842,0.35023215413093567,0.14615385234355927,6.519515037536621
11,0.9083665609359741,0.3247251510620117,0.20000000298023224,5.4660234451293945
12,0.9402390718460083,0.2111828327178955,0.20000000298023224,6.473363876342773
13,0.9482071995735168,0.16679647564888,0.2230769246816635,7.429882526397705
14,0.9701195359230042,0.11127842217683792,0.19230769574642181,8.197821617126465
